@relation land_ort_train_table


@attribute location_found {false, true}
@attribute tokens {2, 1}
@attribute loc_lev numeric
@attribute eins {NE, ADV, NN, XY, ADJA, CARD, ADJD, FM, PIAT, APPR}
@attribute zwei {NE, NN, CARD}
@attribute one {NNP, JJ, NN, VBG, NNS, NNPS, VB, PRP, FW, UH, CC, MD, CD, RB, VBN, DT, IN}
@attribute two {NNP, CC, NN, NNPS, MD, VBG, RB, CD, NNS, VBN, FW, VB, IN, JJ}
@attribute count_one numeric
@attribute count_two numeric
@attribute has_adj {0, 1}
@attribute navi numeric
@attribute lang {en, de}
@attribute music_class numeric
@attribute body_class numeric
@attribute news_class numeric
@attribute location_class numeric
@attribute family_class numeric
@attribute career_class numeric
@attribute entity_class numeric
@attribute navigational_class {0, 1}
@attribute music_klasse numeric
@attribute body_klasse {0, 0.143, 0.286, 0.429}
@attribute news_klasse numeric
@attribute location_klasse numeric
@attribute family_klasse numeric
@attribute career_klasse numeric
@attribute class {NACHRICHTEN/INFORMATION, LAND/ORT}


@data
false,2,5,NE,NE,NNP,NN,696,0,0,712,de,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,2,0,NE,NN,NNP,NN,4,6,0,0,de,0,0,0,0,0,0,0,0,0.333,0,0,0.214,0,0.727,LAND/ORT
false,2,4,NE,NN,NNS,NNP,0,1,0,0,de,0,0,0,0,0,0,0,0,0.111,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,1,NE,NE,NNP,VB,0,43,0,0,en,1.4347,1.5228,1.567,1.5552,1.3148,1.6349,1.6017,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,2,0,NE,NE,JJ,VBG,0,0,1,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
true,1,0,NE,?,NN,?,0,1,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAND/ORT
false,1,-1,NE,?,NNP,?,0,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NN,NN,NNP,NNP,1,2,0,28,de,1.535,1.1726,1.647,1.2779,0.9045,1.1775,1.3765,0,0,0.143,0.333,0,0.083,0.364,NACHRICHTEN/INFORMATION
false,1,-1,NE,?,NNP,?,2,0,0,0,de,1.1328,1.0943,1.2197,1.1918,0.8433,1.0989,1.2809,0,0,0,0,1.714,0,0,LAND/ORT
false,1,-1,NE,?,NN,?,47,0,0,1,en,1.3313,1.2637,1.2126,1.2789,1.4809,1.1992,1.4604,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
true,1,0,NE,?,NN,?,26,0,0,1,de,1.499,1.522,1.573,1.757,1.157,1.404,1.652,0,0,0,0,0,0,0,LAND/ORT
false,2,4,NE,NN,NNP,NNP,1,2,0,0,de,0,0,0,0,0,0,0,0,0,0,0,0.357,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NN,NE,NNP,NNP,0,11,0,0,en,1.0813,1.0218,1.1375,1.1126,0.7859,1.1417,1.1938,0,0,0,0,0,0,0.545,NACHRICHTEN/INFORMATION
false,2,5,NE,NN,PRP,CC,29,0,0,0,de,1.0813,1.0218,1.1375,1.1126,0.7859,1.1417,1.1938,0,0,0,0,0,0,0.909,NACHRICHTEN/INFORMATION
false,1,-1,NN,?,PRP,?,2,0,0,0,en,1.1544,1.0961,1.0561,1.109,1.4586,1.0802,1.347,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
false,2,-1,NE,NN,NNP,NNS,2,0,0,0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NACHRICHTEN/INFORMATION
